delete_id,keep_id,reason,candidate_rows_deleted,material,lubricant,cof_value,potential,speed_value,temperature,delete_literature_id,keep_literature_id,delete_source,keep_source,delete_source_figure,keep_source_figure,delete_review_status,keep_review_status,delete_record_origin,keep_record_origin
320,334,same source and same experimental condition,1,Au(111),[Pyr14][FAP],0.2,-1 V,6 μm/s,298.15 K,67,67,Fig. 2,Fig. 2,Fig. 2,Fig. 2,approved,approved,review_promoted_candidate,review_promoted_candidate
321,336,same source and same experimental condition,1,Au(111),[Pyr14][FAP],0.45,+1 V,6 μm/s,298.15 K,67,67,Fig. 2,Fig. 2,Fig. 2,Fig. 2,approved,approved,review_promoted_candidate,review_promoted_candidate
322,335,same source and same experimental condition,1,Au(111),[Pyr14][FAP],0.28,-0.16 V (OCP),6 μm/s,298.15 K,67,67,Fig. 2,Fig. 2,Fig. 2,Fig. 2,approved,approved,review_promoted_candidate,review_promoted_candidate
323,337,same source and same experimental condition,1,Au(111),[Pyr14][FAP],0.59,+1.5 V,6 μm/s,298.15 K,67,67,Fig. 2,Fig. 2,Fig. 2,Fig. 2,approved,approved,review_promoted_candidate,review_promoted_candidate
325,327,same source and same experimental condition,1,Mica,[EMIM][EtSO4],0.009,,,298.6 K (25.5 ± 0.3 °C),61,61,Fig. 4A,Fig. 4A,Fig. 4A,Fig. 4A,approved,approved,review_promoted_candidate,review_promoted_candidate
326,328,same source and same experimental condition,1,Mica,[EMIM][EtSO4],0.12,,,298.6 K (25.5 ± 0.3 °C),61,61,Fig. 4A,Fig. 4A,Fig. 4A,Fig. 4A,approved,approved,review_promoted_candidate,review_promoted_candidate
354,356,same source and same experimental condition,1,Mica,[BMIM][BF4],0.08,,20 μm/s,298 K,2,2,Fig. 2a,Fig. 2a,Fig. 2a,Fig. 2a,approved,approved,review_promoted_candidate,review_promoted_candidate
411,427,same source and same experimental condition,0,Mica,[BMIM][PF6],0.23,,,298.15 K,78,78,Table 1,Table 1,Table 1,Table 1,approved,approved,llm_extraction,review_promoted_candidate
412,428,same source and same experimental condition,0,Mica,[BMIM][BF4],0.4,,,298.15 K,78,78,Table 1,Table 1,Table 1,Table 1,approved,approved,llm_extraction,review_promoted_candidate
413,429,same source and same experimental condition,0,Mica,[BMIM][PF6],0.32,,,298.15 K,78,78,Table 1,Table 1,Table 1,Table 1,approved,approved,llm_extraction,review_promoted_candidate
414,430,same source and same experimental condition,0,Mica,[BMIM][BF4],0.53,,,298.15 K,78,78,Table 1,Table 1,Table 1,Table 1,approved,approved,llm_extraction,review_promoted_candidate
415,431,same source and same experimental condition,0,HOPG,[BMIM][PF6],0.064,,,298.15 K,78,78,Table 1,Table 1,Table 1,Table 1,approved,approved,llm_extraction,review_promoted_candidate
416,432,same source and same experimental condition,0,HOPG,[BMIM][BF4],0.01,,,298.15 K,78,78,Table 1,Table 1,Table 1,Table 1,approved,approved,llm_extraction,review_promoted_candidate
