Cation,anion,compound,surface,h,r_cat,logP_cat,MW_cat,N_rot_cat,velocity,I_ss,Potential,MW_an,Bertz_cat,r_an,N_qN_cat,σ_s,γ_s,TPSA_an,Rq,TPSA_cat,BalJ_cat,logP_an,θ_s,I_H2O,T,x_IL,N_HA_cat,Bertz_an,BalJ_an,μ,friction_bin,cation_bin,stratify_label
[EA]+,[N]-,zero,mica,0.4,2.431285504,-0.7518,46.093,0,5.0,0,0.0,62.004,2.754887502,2.192174955,1,1.77,-0.16,66.2,0.0569,27.64,1.632993162,-0.2391,0.0,0,298,100.0,0,26.26466251,2.803039488,0.14,3,46.093,3_46.093
"[P6,6,6,14]+",[AOT]-,(CH2CO2Et)2,stainless steel,0.58,5.174799948,12.446,483.87,28,6.0,1,0.0,421.576,319.1282666,4.637037402,0,0.07,0.01,109.8,0.9,0.0,4.337445108,3.8095,72.0,0,298,0.391,0,544.7574562,4.726289834,0.36,4,483.87,4_483.87
[EtA]+,[N]-,zero,mica,0.437894737,2.543129445,-1.7794,62.092,1,5.0,0,0.0,62.004,8.0,2.192174955,1,1.77,-0.16,66.2,0.0569,47.87,1.974744871,-0.2391,0.0,0,298,100.0,1,26.26466251,2.803039488,0.643037975,5,62.092,5_62.092
[BMIm]+,[BF4]-,zero,HOPG,6.5,3.310978931,1.1127,139.222,3,20.0,0,0.0,86.804,190.8925906,2.328453731,0,0.05,-0.0002,0.0,0.89,8.81,2.422977778,1.3,85.0,0,298,100.0,1,19.11941548,3.023715784,0.0017,0,139.222,0_139.222
[BMIm]+,[PF6]-,zero,mica,2.0,3.310978931,1.1127,139.222,3,20.0,0,0.0,144.962,190.8925906,2.529372901,0,1.77,-0.16,0.0,0.66,8.81,2.422977778,3.3824,0.0,0,298,100.0,1,62.74506838,4.431293675,0.1,2,139.222,2_139.222
[BMIm]+,[TFSI]-,zero,Au(111),1.548099078,3.310978931,1.1127,139.222,3,6.0,0,0.0,280.147,190.8925906,3.359227186,0,0.7,-0.02,82.38,1.0,8.81,2.422977778,1.0593,60.0,0,298,100.0,1,384.7328028,5.284512596,0.092,2,139.222,2_139.222
"[P6,6,6,14]+",[AOT]-,(CH2CO2Et)2,stainless steel,0.69,5.174799948,12.446,483.87,28,6.0,1,-0.76,421.576,319.1282666,4.637037402,0,0.07,0.01,109.8,0.9,0.0,4.337445108,3.8095,72.0,0,298,1.002,0,544.7574562,4.726289834,0.57,5,483.87,5_483.87
[EA]+,[N]-,zero,mica,0.28,2.431285504,-0.7518,46.093,0,10.0,0,0.0,62.004,2.754887502,2.192174955,1,1.77,-0.16,66.2,0.0569,27.64,1.632993162,-0.2391,0.0,0,339,100.0,0,26.26466251,2.803039488,0.303,4,46.093,4_46.093
[BMIm]+,[TFSI]-,zero,Au(111),0.692108295,3.310978931,1.1127,139.222,3,6.0,0,-1.0,280.147,190.8925906,3.359227186,0,0.7,-0.02,82.38,1.0,8.81,2.422977778,1.0593,60.0,0,298,100.0,1,384.7328028,5.284512596,0.006,0,139.222,0_139.222
[PA]+,[N]-,zero,mica,3.206680585,2.642365161,-0.3617,60.12,1,30.0,0,0.0,62.004,5.245112498,2.192174955,1,1.77,-0.16,66.2,0.0569,27.64,1.974744871,-0.2391,0.0,0,298,100.0,0,26.26466251,2.803039488,3.970070423,7,60.12,7_60.12
[BMIm]+,[TFSI]-,zero,Au(111),1.543490783,3.310978931,1.1127,139.222,3,6.0,0,-1.0,280.147,190.8925906,3.359227186,0,0.7,-0.02,82.38,1.0,8.81,2.422977778,1.0593,60.0,0,298,100.0,1,384.7328028,5.284512596,0.135,3,139.222,3_139.222
[HMIM]+,[FAP]-,zero,HOPG,3.872727273,3.540263249,1.8929,167.276,5,6.0,0,1.5,445.004,215.3680851,3.775688868,0,0.05,-0.0002,0.0,0.89,8.81,2.153242802,7.1942,85.0,0,298,100.0,1,468.4882895,7.871070033,0.001,0,167.276,0_167.276
[PA]+,[F]-,zero,mica,1.875,2.642365161,-0.3617,60.12,1,40.0,0,0.0,45.017,5.245112498,2.091441062,1,1.77,-0.16,40.13,0.0569,27.64,1.974744871,-1.6339,0.0,0,298,100.0,0,10.26466251,2.187496097,4.5,7,60.12,7_60.12
[BMIm]+,[BF4]-,zero,mica,2.1,3.310978931,1.1127,139.222,3,20.0,0,0.0,86.804,190.8925906,2.328453731,0,1.77,-0.16,0.0,0.66,8.81,2.422977778,1.3,0.0,0,298,100.0,1,19.11941548,3.023715784,0.08,2,139.222,2_139.222
[DMEA]+,[F]-,zero,mica,1.053533191,2.824148313,-0.8492,74.147,1,20.0,0,0.0,45.017,17.60964047,2.091441062,1,1.77,-0.16,40.13,0.0569,4.44,2.539538861,-1.6339,0.0,0,298,100.0,0,10.26466251,2.187496097,1.875,7,74.147,7_74.147
